,year,month,count,year_month
0,2017,1,966,"2017, 1"
1,2017,2,1961,"2017, 2"
2,2017,3,3013,"2017, 3"
3,2017,4,2687,"2017, 4"
4,2017,5,4170,"2017, 5"
5,2017,6,3601,"2017, 6"
6,2017,7,4556,"2017, 7"
7,2017,8,4945,"2017, 8"
8,2017,9,4854,"2017, 9"
9,2017,10,5355,"2017, 10"
10,2017,11,8702,"2017, 11"
11,2017,12,6320,"2017, 12"
12,2018,1,8248,"2018, 1"
13,2018,2,7751,"2018, 2"
14,2018,3,8242,"2018, 3"
15,2018,4,7965,"2018, 4"
16,2018,5,7912,"2018, 5"
17,2018,6,7067,"2018, 6"
18,2018,7,7096,"2018, 7"
19,2018,8,7228,"2018, 8"
